name,cost,efficacy
s1,0.44,1.07
s2,0.13,3.02
s3,0.49,7.98
s4,0.97,2.38
s5,0.31,8.06
s6,0.36,3.83
s7,0.78,9.62
s8,0.12,5.77
s9,0.34,5.96
s10,0.49,1.49
s11,0.55,1.22
s12,0.49,1.87
s13,0.75,1.96
s14,0.41,6.71
s15,0.25,8.09
s16,1.0,5.14
s17,0.12,4.78
s18,0.21,1.51
s19,0.49,5.5
s20,0.18,5.41
s21,0.9,1.69
s22,0.32,5.88
s23,0.74,5.12
s24,0.56,7.32
s25,1.0,2.96
s26,0.71,7.58
s27,0.31,5.7
s28,0.38,1.68
s29,0.41,1.51
s30,0.49,1.82
s31,0.66,6.22
s32,0.25,7.83
s33,0.23,7.08
s34,0.66,8.64
s35,0.32,9.93
s36,0.56,9.6
s37,0.7,7.05
s38,0.78,5.16
s39,0.89,9.09
s40,0.16,3.97
s41,0.23,8.39
s42,0.25,4.13
s43,0.21,7.98
s44,0.57,7.22
s45,0.93,8.45
s46,0.19,8.55
s47,0.95,2.33
s48,0.36,4.23
s49,0.29,5.36
s50,0.76,1.5

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50
s11,0.02,-0.76,-0.41,0.49,-1.64,-0.5,1.93,-1.96,-1.0,-0.02,0,-0.04,0.15,-0.77,-2.06,1.76,-1.53,-0.1,-0.26,-1.55,0.16,-1.07,0.74,0.06,0.78,1.02,-1.08,-0.08,-0.04,-0.04,0.55,-1.98,-1.88,0.82,-2.0,0.08,0.87,0.91,2.68,-1.07,-2.29,-0.87,-2.3,0.12,2.75,-2.64,0.44,-0.57,-1.08,0.06
s12,0.04,-0.41,0.0,0.24,-1.11,-0.25,2.25,-1.44,-0.61,-0.0,-0.04,0,0.02,-0.39,-1.49,1.67,-1.08,0.1,0.0,-1.1,-0.07,-0.68,0.81,0.38,0.56,1.26,-0.69,0.02,0.03,-0.0,0.74,-1.43,-1.35,1.15,-1.37,0.54,1.09,0.95,2.89,-0.69,-1.7,-0.54,-1.71,0.43,2.9,-2.0,0.21,-0.31,-0.7,-0.1
s13,0.28,-0.66,-1.57,0.09,-2.68,-0.73,0.23,-2.4,-1.64,0.12,0.15,0.02,0,-1.62,-3.06,0.79,-1.78,0.24,-0.92,-1.97,-0.04,-1.69,-0.03,-1.02,0.25,-0.22,-1.65,0.1,0.15,0.04,-0.38,-2.94,-2.66,-0.6,-3.43,-1.45,-0.25,0.1,1.0,-1.19,-3.34,-1.08,-3.25,-0.95,1.17,-3.69,0.07,-0.89,-1.56,-0.0
s14,-0.17,1.03,0.1,-2.42,-0.14,0.14,1.08,0.27,0.05,-0.42,-0.77,-0.39,-1.62,0,-0.22,-0.93,0.56,1.04,-0.1,0.3,-2.46,0.07,-0.52,0.09,-2.21,0.26,0.1,0.15,-0.0,-0.39,-0.12,-0.18,-0.07,0.48,-0.29,0.43,0.1,-0.57,1.14,0.68,-0.3,0.41,-0.25,0.08,0.9,-0.4,-2.37,0.12,0.16,-1.82
s15,-1.33,0.61,-0.03,-4.11,-0.0,-0.47,0.81,0.3,-0.19,-1.58,-2.06,-1.49,-3.06,-0.22,0,-2.21,0.43,0.26,-0.62,0.19,-4.16,-0.15,-1.46,-0.24,-3.85,-0.23,-0.14,-0.83,-1.05,-1.5,-0.77,-0.0,0.02,0.23,0.13,0.47,-0.47,-1.55,0.64,0.37,-0.01,-0.0,0.0,-0.28,0.24,-0.03,-4.03,-0.42,-0.11,-3.36
s16,2.28,1.84,-1.45,0.08,-2.01,0.84,-0.99,-0.55,-0.54,1.86,1.76,1.67,0.79,-0.93,-2.21,0,0.32,2.87,-0.18,-0.22,0.34,-0.5,0.01,-0.96,-0.0,-0.71,-0.39,2.15,2.14,1.69,-0.37,-2.02,-1.49,-1.19,-3.26,-1.96,-0.57,-0.0,-0.43,0.98,-2.5,0.76,-2.24,-0.89,-0.23,-2.76,0.14,0.58,-0.16,0.87
s17,-1.19,-0.02,1.18,-2.04,0.62,-0.23,3.19,0.0,0.26,-1.22,-1.53,-1.08,-1.78,0.56,0.43,0.32,0,-0.29,0.27,0.04,-2.41,0.22,0.21,1.12,-1.6,1.65,0.17,-0.81,-0.95,-1.1,0.78,0.4,0.25,2.08,1.03,2.12,1.32,0.25,3.32,-0.03,0.4,-0.08,0.29,1.1,2.97,0.26,-2.03,-0.13,0.1,-2.1
s18,-0.1,-0.12,1.81,0.66,0.66,0.35,4.62,-0.38,0.58,-0.01,-0.1,0.1,0.24,1.04,0.26,2.87,-0.29,0,1.12,-0.12,0.12,0.48,1.91,2.03,1.15,3.04,0.42,0.03,0.0,0.09,2.12,0.25,0.11,3.21,0.93,2.83,2.71,2.08,5.15,-0.12,0.14,0.1,0.0,2.06,5.0,-0.14,0.61,0.41,0.31,-0.01
s19,0.22,0.89,0.0,-1.5,-0.46,0.22,1.19,-0.1,-0.07,-0.0,-0.26,-0.0,-0.92,-0.1,-0.62,-0.18,0.27,1.12,0,0.03,-1.56,-0.06,-0.09,0.13,-1.3,0.46,-0.04,0.42,0.32,-0.0,0.12,-0.56,-0.41,0.53,-0.75,0.29,0.33,-0.1,1.44,0.5,-0.75,0.33,-0.69,0.14,1.3,-0.92,-1.46,0.17,0.03,-1.08
s20,-1.13,0.12,0.8,-2.39,0.34,-0.28,2.53,-0.02,0.09,-1.22,-1.55,-1.1,-1.97,0.3,0.19,-0.22,0.04,-0.12,0.03,0,-2.68,0.07,-0.16,0.73,-2.01,1.15,0.04,-0.75,-0.9,-1.11,0.39,0.17,0.08,1.55,0.63,1.59,0.85,-0.15,2.61,0.03,0.15,-0.09,0.08,0.71,2.28,0.03,-2.37,-0.21,-0.01,-2.27
s21,0.29,-1.02,-2.58,0.05,-3.76,-1.16,-0.95,-3.18,-2.39,0.08,0.16,-0.07,-0.04,-2.46,-4.16,0.34,-2.41,0.12,-1.56,-2.68,0,-2.43,-0.55,-1.91,0.13,-1.12,-2.37,0.01,0.09,-0.05,-1.09,-3.99,-3.61,-1.67,-4.78,-2.69,-1.07,-0.42,-0.07,-1.69,-4.49,-1.59,-4.34,-1.82,0.2,-4.87,0.03,-1.37,-2.24,0.03
s22,-0.58,0.54,0.36,-2.27,-0.02,-0.08,1.72,0.02,0.0,-0.75,-1.07,-0.68,-1.69,0.07,-0.15,-0.5,0.22,0.48,-0.06,0.07,-2.43,0,-0.32,0.35,-1.99,0.66,0.0,-0.25,-0.39,-0.69,0.12,-0.14,-0.11,0.94,0.0,0.89,0.44,-0.33,1.83,0.31,-0.23,0.12,-0.23,0.33,1.57,-0.35,-2.24,-0.07,0.02,-1.93
s23,1.21,1.28,-0.72,-0.63,-1.26,0.49,0.18,-0.4,-0.34,0.91,0.74,0.81,-0.03,-0.52,-1.46,0.01,0.21,1.91,-0.09,-0.16,-0.55,-0.32,0,-0.4,-0.56,-0.07,-0.25,1.24,1.19,0.82,-0.09,-1.33,-1.0,-0.28,-2.02,-0.81,-0.08,0.0,0.6,0.67,-1.67,0.49,-1.52,-0.36,0.63,-1.89,-0.59,0.34,-0.11,-0.07
s24,0.75,1.85,-0.05,-2.03,-0.19,0.7,0.51,0.68,0.3,0.41,0.06,0.38,-1.02,0.09,-0.24,-0.96,1.12,2.03,0.13,0.73,-1.91,0.35,-0.4,0,-1.92,0.04,0.41,1.02,0.87,0.39,-0.11,-0.16,0.08,0.13,-0.63,0.0,-0.04,-0.48,0.58,1.34,-0.35,0.99,-0.23,-0.0,0.42,-0.46,-1.95,0.62,0.53,-1.16
s25,1.06,-0.05,-2.56,0.02,-3.52,-0.56,-1.47,-2.47,-1.98,0.75,0.78,0.56,0.25,-2.21,-3.85,0.0,-1.6,1.15,-1.3,-2.01,0.13,-1.99,-0.56,-1.92,0,-1.34,-1.89,0.79,0.86,0.58,-1.11,-3.65,-3.17,-1.93,-4.74,-2.92,-1.23,-0.48,-0.67,-0.85,-4.18,-0.88,-3.97,-1.83,-0.38,-4.53,0.03,-0.81,-1.7,0.35
s26,1.76,2.64,-0.09,-1.35,-0.19,1.31,0.14,1.07,0.6,1.34,1.02,1.26,-0.22,0.26,-0.23,-0.71,1.65,3.04,0.46,1.15,-1.12,0.66,-0.07,0.04,-1.34,0,0.75,1.95,1.82,1.27,0.07,-0.11,0.24,-0.05,-0.92,-0.3,0.01,-0.17,0.27,1.99,-0.39,1.59,-0.2,0.05,0.19,-0.5,-1.26,1.17,0.93,-0.3
s27,-0.6,0.48,0.41,-2.19,0.0,-0.09,1.84,-0.01,0.01,-0.76,-1.08,-0.69,-1.65,0.1,-0.14,-0.39,0.17,0.42,-0.04,0.04,-2.37,0.0,-0.25,0.41,-1.89,0.75,0,-0.28,-0.42,-0.7,0.18,-0.13,-0.11,1.03,0.04,0.98,0.53,-0.25,1.97,0.26,-0.22,0.09,-0.23,0.4,1.7,-0.34,-2.16,-0.07,0.01,-1.89
s28,-0.04,-0.34,0.69,0.41,-0.45,-0.04,3.18,-1.06,-0.17,-0.02,-0.08,0.02,0.1,0.15,-0.83,2.15,-0.81,0.03,0.42,-0.75,0.01,-0.25,1.24,1.02,0.79,1.95,-0.28,0,-0.01,0.02,1.27,-0.8,-0.81,1.95,-0.49,1.43,1.72,1.39,3.78,-0.5,-1.01,-0.32,-1.07,1.05,3.72,-1.31,0.37,-0.05,-0.33,-0.07
s29,-0.01,-0.42,0.52,0.49,-0.65,-0.12,3.0,-1.24,-0.31,-0.0,-0.04,0.03,0.15,0.0,-1.05,2.14,-0.95,-0.0,0.32,-0.9,0.09,-0.39,1.19,0.87,0.86,1.82,-0.42,-0.01,0,0.02,1.18,-1.01,-1.0,1.78,-0.76,1.21,1.61,1.35,3.64,-0.61,-1.24,-0.42,-1.29,0.91,3.61,-1.55,0.44,-0.14,-0.46,-0.0
s30,0.04,-0.43,0.0,0.27,-1.12,-0.26,2.26,-1.46,-0.62,-0.0,-0.04,0.0,0.04,-0.39,-1.5,1.69,-1.1,0.09,0.0,-1.11,-0.05,-0.69,0.82,0.39,0.58,1.27,-0.7,0.02,0.02,0,0.75,-1.44,-1.37,1.16,-1.38,0.54,1.1,0.97,2.91,-0.71,-1.71,-0.55,-1.72,0.43,2.92,-2.02,0.23,-0.31,-0.71,-0.09
s31,1.13,1.7,-0.3,-1.19,-0.64,0.72,0.41,0.24,0.08,0.8,0.55,0.74,-0.38,-0.12,-0.77,-0.37,0.78,2.12,0.12,0.39,-1.09,0.12,-0.09,-0.11,-1.11,0.07,0.18,1.27,1.18,0.75,0,-0.66,-0.37,0.0,-1.26,-0.34,0.03,-0.13,0.66,1.12,-0.93,0.86,-0.79,-0.09,0.6,-1.1,-1.13,0.6,0.32,-0.47
s32,-1.28,0.58,0.04,-3.92,0.01,-0.44,0.95,0.27,-0.17,-1.52,-1.98,-1.43,-2.94,-0.18,0.0,-2.02,0.4,0.25,-0.56,0.17,-3.99,-0.14,-1.33,-0.16,-3.65,-0.11,-0.13,-0.8,-1.01,-1.44,-0.66,0,0.01,0.33,0.15,0.55,-0.35,-1.42,0.81,0.35,-0.01,-0.0,-0.01,-0.2,0.42,-0.04,-3.85,-0.4,-0.1,-3.23
s33,-1.26,0.41,0.23,-3.48,0.08,-0.42,1.4,0.14,-0.12,-1.45,-1.88,-1.35,-2.66,-0.07,0.02,-1.49,0.25,0.11,-0.41,0.08,-3.61,-0.11,-1.0,0.08,-3.17,0.24,-0.11,-0.81,-1.0,-1.37,-0.37,0.01,0,0.67,0.26,0.83,-0.01,-1.06,1.33,0.22,0.0,-0.06,-0.02,0.05,0.96,-0.06,-3.42,-0.37,-0.1,-2.96
s34,1.67,2.98,0.11,-1.94,0.2,1.44,0.12,1.55,0.86,1.22,0.82,1.15,-0.6,0.48,0.23,-1.19,2.08,3.21,0.53,1.55,-1.67,0.94,-0.28,0.13,-1.93,-0.05,1.03,1.95,1.78,1.16,-0.0,0.33,0.67,0,-0.44,-0.1,-0.06,-0.42,0.1,2.33,0.11,1.85,0.3,0.13,-0.05,0.04,-1.83,1.32,1.21,-0.71
s35,-1.06,1.31,-0.33,-4.91,0.02,-0.24,-0.14,0.83,-0.08,-1.43,-2.0,-1.37,-3.43,-0.29,0.13,-3.26,1.03,0.93,-0.75,0.63,-4.78,-0.0,-2.02,-0.63,-4.74,-0.92,0.04,-0.49,-0.76,-1.38,-1.26,0.15,0.26,-0.44,0,-0.08,-1.09,-2.19,-0.48,0.95,0.14,0.41,0.21,-0.68,-0.9,0.18,-4.79,-0.23,0.14,-3.71
s36,1.02,2.83,0.11,-2.96,0.38,1.15,0.0,1.69,0.8,0.57,0.08,0.54,-1.45,0.43,0.47,-1.96,2.12,2.83,0.29,1.59,-2.69,0.89,-0.81,-0.0,-2.92,-0.3,0.98,1.43,1.21,0.54,-0.34,0.55,0.83,-0.1,-0.08,0,-0.36,-0.98,-0.17,2.25,0.4,1.7,0.57,-0.02,-0.43,0.39,-2.84,1.07,1.14,-1.62
s37,1.55,2.3,-0.2,-1.26,-0.39,1.09,0.21,0.74,0.39,1.17,0.87,1.09,-0.25,0.1,-0.47,-0.57,1.32,2.71,0.33,0.85,-1.07,0.44,-0.08,-0.04,-1.23,0.01,0.53,1.72,1.61,1.1,0.03,-0.35,-0.01,-0.06,-1.09,-0.36,0,-0.15,0.39,1.66,-0.63,1.31,-0.46,-0.02,0.32,-0.77,-1.18,0.96,0.69,-0.33
s38,1.39,1.39,-0.82,-0.53,-1.36,0.56,0.0,-0.4,-0.35,1.06,0.91,0.95,0.1,-0.57,-1.55,-0.0,0.25,2.08,-0.1,-0.15,-0.42,-0.33,0.0,-0.48,-0.48,-0.17,-0.25,1.39,1.35,0.97,-0.13,-1.42,-1.06,-0.42,-2.19,-0.98,-0.15,0,0.43,0.74,-1.78,0.55,-1.61,-0.43,0.49,-2.0,-0.48,0.39,-0.1,0.07
s39,3.61,4.61,0.44,-0.54,0.6,2.79,-0.06,2.56,1.72,3.04,2.68,2.89,1.0,1.14,0.64,-0.43,3.32,5.15,1.44,2.61,-0.07,1.83,0.6,0.58,-0.67,0.27,1.97,3.78,3.64,2.91,0.66,0.81,1.33,0.1,-0.48,-0.17,0.39,0.43,0,3.74,0.46,3.17,0.75,0.6,-0.03,0.38,-0.41,2.58,2.24,0.99
s40,-0.81,0.03,1.32,-1.29,0.61,-0.03,3.5,-0.07,0.36,-0.82,-1.07,-0.69,-1.19,0.68,0.37,0.98,-0.03,-0.12,0.5,0.03,-1.69,0.31,0.67,1.34,-0.85,1.99,0.26,-0.5,-0.61,-0.71,1.12,0.35,0.22,2.33,0.95,2.25,1.66,0.74,3.74,0,0.31,0.01,0.2,1.33,3.45,0.14,-1.3,0.05,0.18,-1.48
s41,-1.54,0.54,-0.11,-4.45,-0.03,-0.59,0.68,0.29,-0.27,-1.79,-2.29,-1.7,-3.34,-0.3,-0.01,-2.5,0.4,0.14,-0.75,0.15,-4.49,-0.23,-1.67,-0.35,-4.18,-0.39,-0.22,-1.01,-1.24,-1.71,-0.93,-0.01,-0.0,0.11,0.14,0.4,-0.63,-1.78,0.46,0.31,0,-0.09,0.01,-0.4,0.04,-0.01,-4.36,-0.54,-0.18,-3.65
s42,-0.58,0.13,0.92,-1.26,0.24,-0.03,2.91,-0.21,0.16,-0.63,-0.87,-0.54,-1.08,0.41,0.0,0.76,-0.08,0.1,0.33,-0.09,-1.59,0.12,0.49,0.99,-0.88,1.59,0.09,-0.32,-0.42,-0.55,0.86,0.0,-0.06,1.85,0.41,1.7,1.31,0.55,3.17,0.01,-0.09,0,-0.15,0.99,2.94,-0.27,-1.26,0.01,0.05,-1.34
s43,-1.59,0.4,0.0,-4.26,0.01,-0.62,0.93,0.2,-0.26,-1.82,-2.3,-1.71,-3.25,-0.25,0.0,-2.24,0.29,-0.0,-0.69,0.08,-4.34,-0.23,-1.52,-0.23,-3.97,-0.2,-0.23,-1.07,-1.29,-1.72,-0.79,-0.01,-0.02,0.3,0.21,0.57,-0.46,-1.61,0.75,0.2,0.01,-0.15,0,-0.27,0.34,-0.01,-4.18,-0.56,-0.21,-3.56
s44,0.8,1.85,-0.06,-1.94,-0.22,0.71,0.5,0.65,0.29,0.46,0.12,0.43,-0.95,0.08,-0.28,-0.89,1.1,2.06,0.14,0.71,-1.82,0.33,-0.36,-0.0,-1.83,0.05,0.4,1.05,0.91,0.43,-0.09,-0.2,0.05,0.13,-0.68,-0.02,-0.02,-0.43,0.6,1.33,-0.4,0.99,-0.27,0,0.44,-0.51,-1.86,0.63,0.52,-1.09
s45,3.62,4.34,0.21,-0.24,0.24,2.63,-0.18,2.17,1.47,3.06,2.75,2.9,1.17,0.9,0.24,-0.23,2.97,5.0,1.3,2.28,0.2,1.57,0.63,0.42,-0.38,0.19,1.7,3.72,3.61,2.92,0.6,0.42,0.96,-0.05,-0.9,-0.43,0.32,0.49,-0.03,3.45,0.04,2.94,0.34,0.44,0,-0.07,-0.12,2.41,1.98,1.18
s46,-1.87,0.33,-0.17,-4.81,-0.06,-0.8,0.63,0.19,-0.39,-2.12,-2.64,-2.0,-3.69,-0.4,-0.03,-2.76,0.26,-0.14,-0.92,0.03,-4.87,-0.35,-1.89,-0.46,-4.53,-0.5,-0.34,-1.31,-1.55,-2.02,-1.1,-0.04,-0.06,0.04,0.18,0.39,-0.77,-2.0,0.38,0.14,-0.01,-0.27,-0.01,-0.51,-0.07,0,-4.73,-0.73,-0.32,-4.02
s47,0.64,-0.57,-2.6,0.0,-3.67,-0.89,-1.24,-2.86,-2.21,0.39,0.44,0.21,0.07,-2.37,-4.03,0.14,-2.03,0.61,-1.46,-2.37,0.03,-2.24,-0.59,-1.95,0.03,-1.26,-2.16,0.37,0.44,0.23,-1.13,-3.85,-3.42,-1.83,-4.79,-2.84,-1.18,-0.48,-0.41,-1.3,-4.36,-1.26,-4.18,-1.86,-0.12,-4.73,0,-1.12,-2.0,0.16
s48,-0.25,0.28,0.49,-1.13,-0.19,-0.0,2.26,-0.37,-0.03,-0.36,-0.57,-0.31,-0.89,0.12,-0.42,0.58,-0.13,0.41,0.17,-0.21,-1.37,-0.07,0.34,0.62,-0.81,1.17,-0.07,-0.05,-0.14,-0.31,0.6,-0.4,-0.37,1.32,-0.23,1.07,0.96,0.39,2.58,0.05,-0.54,0.01,-0.56,0.63,2.41,-0.73,-1.12,0,-0.08,-1.09
s49,-0.64,0.37,0.52,-2.03,0.05,-0.11,2.09,-0.07,0.03,-0.77,-1.08,-0.7,-1.56,0.16,-0.11,-0.16,0.1,0.31,0.03,-0.01,-2.24,0.02,-0.11,0.53,-1.7,0.93,0.01,-0.33,-0.46,-0.71,0.32,-0.1,-0.1,1.21,0.14,1.14,0.69,-0.1,2.24,0.18,-0.18,0.05,-0.21,0.52,1.98,-0.32,-2.0,-0.08,0,-1.81
s50,0.14,-0.96,-1.75,0.18,-2.95,-0.93,0.16,-2.73,-1.87,0.0,0.06,-0.1,-0.0,-1.82,-3.36,0.87,-2.1,-0.01,-1.08,-2.27,0.03,-1.93,-0.07,-1.16,0.35,-0.3,-1.89,-0.07,-0.0,-0.09,-0.47,-3.23,-2.96,-0.71,-3.71,-1.62,-0.33,0.07,0.99,-1.48,-3.65,-1.34,-3.56,-1.09,1.18,-4.02,0.16,-1.09,-1.81,0
