name,cost,efficacy
s1,0.16,4.05
s2,0.37,3.3
s3,0.82,7.01
s4,0.46,9.02
s5,0.58,9.51
s6,0.93,5.58
s7,0.12,6.38
s8,0.73,8.39
s9,0.46,8.78
s10,0.58,5.92
s11,0.1,4.16
s12,0.66,2.43
s13,0.37,8.27
s14,0.52,3.4
s15,0.45,5.91
s16,0.56,4.95
s17,0.86,6.99
s18,0.85,2.54
s19,0.2,5.62
s20,0.64,8.54
s21,0.67,1.88
s22,0.79,9.23
s23,0.64,1.5
s24,0.77,6.77
s25,0.88,8.22
s26,0.94,5.33
s27,0.92,5.89
s28,0.37,3.93
s29,0.2,8.24
s30,0.99,3.91
s31,0.5,3.71
s32,0.39,4.46
s33,0.64,3.7
s34,0.73,9.09
s35,0.56,1.12
s36,0.15,1.42
s37,0.56,6.84
s38,0.29,9.28
s39,0.12,5.58
s40,0.4,4.15

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40
s11,-0.01,-0.23,2.05,1.75,2.57,1.18,0.04,2.66,1.66,0.84,0,-0.97,1.11,-0.32,0.61,0.36,2.15,-1.22,0.15,2.37,-1.3,3.5,-1.44,1.75,3.17,0.98,1.42,-0.06,0.41,-0.22,-0.18,0.09,-0.25,3.11,-1.4,-0.14,1.23,0.97,0.03,-0.0
s12,-0.81,-0.25,0.73,-1.32,-0.57,0.85,-2.13,0.42,-1.27,-0.28,-0.97,0,-1.69,-0.14,-0.73,-0.25,0.91,0.02,-1.47,-0.12,-0.01,0.88,0.02,0.48,1.27,0.81,0.9,-0.44,-2.67,0.49,-0.2,-0.55,-0.03,0.47,0.13,0.52,-0.44,-2.53,-1.7,-0.45
s13,0.89,-0.0,-0.57,0.07,0.26,-1.51,0.47,0.04,0.05,-0.49,1.11,-1.69,0,-0.73,-0.19,-0.63,-0.63,-2.75,0.45,0.07,-1.92,0.4,-1.83,-0.6,-0.03,-1.68,-1.31,-0.0,0.01,-2.7,-0.59,-0.08,-1.23,0.3,-1.36,1.51,-0.27,-0.08,0.67,-0.12
s14,-0.23,0.02,1.08,-0.34,0.37,0.89,-1.19,1.05,-0.32,0.15,-0.32,-0.14,-0.73,0,-0.18,0.06,1.22,-0.28,-0.71,0.62,-0.23,1.57,-0.23,0.84,1.74,0.81,1.0,-0.08,-1.55,0.24,-0.01,-0.14,0.04,1.19,-0.09,0.73,0.14,-1.35,-0.87,-0.09
s15,0.54,0.21,0.41,0.03,0.47,-0.16,-0.16,0.69,0.03,0.0,0.61,-0.73,-0.19,-0.18,0,-0.11,0.44,-1.35,0.07,0.5,-0.89,1.13,-0.84,0.28,0.99,-0.28,-0.01,0.16,-0.58,-1.08,-0.11,0.09,-0.42,0.89,-0.53,1.35,0.1,-0.54,0.11,0.09
s16,0.36,0.31,0.54,-0.41,0.09,0.23,-0.63,0.58,-0.38,0.02,0.36,-0.25,-0.63,0.06,-0.11,0,0.61,-0.7,-0.24,0.29,-0.34,0.98,-0.28,0.38,1.05,0.14,0.34,0.19,-1.18,-0.45,0.07,0.08,-0.1,0.7,-0.0,1.45,0.0,-1.17,-0.28,0.13
s17,2.06,1.81,-0.0,-0.81,-0.71,-0.1,0.45,-0.18,-0.72,0.3,2.15,0.91,-0.63,1.22,0.44,0.61,0,0.04,0.9,-0.34,0.97,-0.16,1.21,0.02,0.02,-0.13,-0.07,1.5,-0.82,-0.4,1.18,1.19,0.72,-0.27,1.76,3.95,0.05,-1.31,1.04,1.31
s18,-1.04,-0.36,-0.13,-2.53,-1.88,0.24,-2.8,-0.7,-2.43,-0.91,-1.22,0.02,-2.75,-0.28,-1.35,-0.7,0.04,0,-2.0,-1.26,0.12,-0.4,0.22,-0.34,0.17,0.25,0.23,-0.67,-3.7,0.19,-0.41,-0.88,-0.24,-0.79,0.41,0.78,-1.25,-3.77,-2.22,-0.72
s19,0.06,-0.39,0.86,0.88,1.48,-0.03,-0.06,1.47,0.82,0.11,0.15,-1.47,0.45,-0.71,0.07,-0.24,0.9,-2.0,0,1.28,-1.76,2.13,-1.81,0.66,1.77,-0.21,0.19,-0.29,0.0,-1.35,-0.57,-0.22,-0.84,1.84,-1.62,0.21,0.44,0.33,0.0,-0.29
s20,2.16,1.41,-0.28,-0.09,-0.06,-0.86,1.12,-0.01,-0.04,0.16,2.37,-0.12,0.07,0.62,0.5,0.29,-0.34,-1.26,1.28,0,-0.2,0.1,-0.0,-0.23,-0.08,-0.96,-0.74,1.24,0.13,-1.62,0.68,1.02,-0.0,0.05,0.59,3.49,0.14,-0.26,1.54,1.05
s21,-1.11,-0.43,0.77,-1.5,-0.69,0.96,-2.48,0.39,-1.45,-0.36,-1.3,-0.01,-1.92,-0.23,-0.89,-0.34,0.97,0.12,-1.76,-0.2,0,0.88,0.01,0.49,1.33,0.93,1.0,-0.62,-2.99,0.65,-0.31,-0.72,-0.05,0.43,0.08,0.24,-0.55,-2.81,-2.04,-0.61
s22,3.26,2.49,-0.07,0.07,-0.06,-0.51,1.91,0.05,0.15,0.7,3.5,0.88,0.4,1.57,1.13,0.98,-0.16,-0.4,2.13,0.1,0.88,0,1.16,0.05,-0.09,-0.58,-0.43,2.23,0.58,-1.06,1.6,1.91,0.83,0.01,1.87,5.0,0.55,-0.02,2.45,1.98
s23,-1.22,-0.49,0.99,-1.35,-0.48,1.18,-2.54,0.62,-1.31,-0.27,-1.44,0.02,-1.83,-0.23,-0.84,-0.28,1.21,0.22,-1.81,0.0,0.01,1.16,0,0.69,1.61,1.15,1.23,-0.66,-2.97,0.84,-0.31,-0.74,0.0,0.68,0.03,0.04,-0.43,-2.72,-2.12,-0.64
s24,1.66,1.39,0.01,-0.7,-0.52,-0.19,0.25,-0.06,-0.62,0.16,1.75,0.48,-0.6,0.84,0.28,0.38,0.02,-0.34,0.66,-0.23,0.49,0.05,0.69,0,0.16,-0.24,-0.13,1.14,-0.84,-0.63,0.83,0.88,0.4,-0.09,1.19,3.32,-0.01,-1.2,0.77,0.97
s25,3.0,2.51,0.07,-0.34,-0.39,-0.13,1.4,-0.03,-0.24,0.69,3.17,1.27,-0.03,1.74,0.99,1.05,0.02,0.17,1.77,-0.08,1.33,-0.09,1.61,0.16,0,-0.17,-0.09,2.19,-0.01,-0.47,1.71,1.84,1.08,-0.13,2.27,4.96,0.44,-0.63,2.01,1.95
s26,1.0,1.16,-0.2,-1.77,-1.5,-0.0,-0.86,-0.64,-1.66,-0.21,0.98,0.81,-1.68,0.81,-0.28,0.14,-0.13,0.25,-0.21,-0.96,0.93,-0.58,1.15,-0.24,-0.17,0,-0.01,0.8,-2.15,-0.07,0.71,0.48,0.49,-0.79,1.6,3.09,-0.57,-2.57,-0.2,0.64
s27,1.4,1.42,-0.11,-1.44,-1.23,-0.0,-0.39,-0.48,-1.33,-0.01,1.42,0.9,-1.31,1.0,-0.01,0.34,-0.07,0.23,0.19,-0.74,1.0,-0.43,1.23,-0.13,-0.09,-0.01,0,1.08,-1.69,-0.14,0.92,0.76,0.61,-0.61,1.72,3.44,-0.34,-2.14,0.25,0.9
s28,-0.03,-0.0,1.39,0.46,1.17,0.92,-0.61,1.61,0.44,0.42,-0.06,-0.44,0.0,-0.08,0.16,0.19,1.5,-0.67,-0.29,1.24,-0.62,2.23,-0.66,1.14,2.19,0.8,1.08,0,-0.73,-0.01,-0.03,0.01,-0.06,1.86,-0.53,0.55,0.55,-0.43,-0.41,0.01
s29,0.17,-0.84,-0.76,0.2,0.48,-1.94,0.15,0.08,0.14,-0.88,0.41,-2.67,0.01,-1.55,-0.58,-1.18,-0.82,-3.7,-0.0,0.13,-2.99,0.58,-2.97,-0.84,-0.01,-2.15,-1.69,-0.73,0,-3.42,-1.36,-0.72,-2.0,0.45,-2.56,0.34,-0.5,0.09,0.21,-0.82
s30,-0.12,0.38,-0.53,-2.71,-2.3,-0.1,-2.15,-1.16,-2.58,-0.82,-0.22,0.49,-2.7,0.24,-1.08,-0.45,-0.4,0.19,-1.35,-1.62,0.65,-1.06,0.84,-0.63,-0.47,-0.07,-0.14,-0.01,-3.42,0,0.1,-0.33,0.07,-1.35,1.2,2.09,-1.26,-3.76,-1.45,-0.14
s31,-0.12,0.05,1.06,-0.21,0.46,0.8,-1.01,1.08,-0.2,0.18,-0.18,-0.2,-0.59,-0.01,-0.11,0.07,1.18,-0.41,-0.57,0.68,-0.31,1.6,-0.31,0.83,1.71,0.71,0.92,-0.03,-1.36,0.1,0,-0.08,-0.0,1.24,-0.16,0.8,0.19,-1.17,-0.71,-0.04
s32,0.09,0.02,1.1,0.32,0.96,0.6,-0.52,1.34,0.3,0.28,0.09,-0.55,-0.08,-0.14,0.09,0.08,1.19,-0.88,-0.22,1.02,-0.72,1.91,-0.74,0.88,1.84,0.48,0.76,0.01,-0.72,-0.33,-0.08,0,-0.19,1.57,-0.57,0.73,0.4,-0.48,-0.3,-0.0
s33,-0.17,0.11,0.6,-0.96,-0.35,0.55,-1.39,0.42,-0.91,-0.13,-0.25,-0.03,-1.23,0.04,-0.42,-0.1,0.72,-0.24,-0.84,0.0,-0.05,0.83,-0.0,0.4,1.08,0.49,0.61,-0.06,-2.0,0.07,-0.0,-0.19,0,0.49,0.21,1.12,-0.25,-1.95,-0.98,-0.11
s34,2.87,2.08,-0.19,0.02,-0.06,-0.7,1.65,-0.0,0.08,0.48,3.11,0.47,0.3,1.19,0.89,0.7,-0.27,-0.79,1.84,0.05,0.43,0.01,0.68,-0.09,-0.13,-0.79,-0.61,1.86,0.45,-1.35,1.24,1.57,0.49,0,1.35,4.45,0.38,-0.08,2.14,1.63
s35,-1.17,-0.41,1.53,-0.79,0.17,1.65,-2.31,1.24,-0.77,0.1,-1.4,0.13,-1.36,-0.09,-0.53,0.0,1.76,0.41,-1.62,0.59,0.08,1.87,0.03,1.19,2.27,1.6,1.72,-0.53,-2.56,1.2,-0.16,-0.57,0.21,1.35,0,-0.12,0.0,-2.2,-1.96,-0.48
s36,0.03,0.41,3.75,2.36,3.48,3.24,-0.15,4.04,2.28,1.93,-0.14,0.52,1.51,0.73,1.35,1.45,3.95,0.78,0.21,3.49,0.24,5.0,0.04,3.32,4.96,3.09,3.44,0.55,0.34,2.09,0.8,0.73,1.12,4.45,-0.12,0,2.22,1.1,-0.12,0.68
s37,1.12,0.67,0.04,-0.22,0.05,-0.47,0.2,0.26,-0.19,-0.02,1.23,-0.44,-0.27,0.14,0.1,-0.0,0.05,-1.25,0.44,0.14,-0.55,0.55,-0.43,-0.01,0.44,-0.57,-0.34,0.55,-0.5,-1.26,0.19,0.4,-0.25,0.38,-0.0,2.22,0,-0.66,0.55,0.43
s38,0.68,-0.48,-1.2,-0.04,0.07,-2.37,0.49,-0.39,-0.09,-0.97,0.97,-2.53,-0.08,-1.35,-0.54,-1.17,-1.31,-3.77,0.33,-0.26,-2.81,-0.02,-2.72,-1.2,-0.63,-2.57,-2.14,-0.43,0.09,-3.76,-1.17,-0.48,-1.95,-0.08,-2.2,1.1,-0.66,0,0.63,-0.56
s39,-0.06,-0.57,1.0,1.17,1.81,0.0,0.0,1.71,1.09,0.16,0.03,-1.7,0.67,-0.87,0.11,-0.28,1.04,-2.22,0.0,1.54,-2.04,2.45,-2.12,0.77,2.01,-0.2,0.25,-0.41,0.21,-1.45,-0.71,-0.3,-0.98,2.14,-1.96,-0.12,0.55,0.63,0,-0.4
s40,0.02,0.03,1.2,0.29,0.96,0.76,-0.62,1.4,0.28,0.32,-0.0,-0.45,-0.12,-0.09,0.09,0.13,1.31,-0.72,-0.29,1.05,-0.61,1.98,-0.64,0.97,1.95,0.64,0.9,0.01,-0.82,-0.14,-0.04,-0.0,-0.11,1.63,-0.48,0.68,0.43,-0.56,-0.4,0
