name,cost,efficacy
s1,0.31,4.1
s2,0.67,4.47
s3,0.14,1.98
s4,0.21,8.78
s5,0.25,9.12
s6,0.12,4.31
s7,0.24,6.49
s8,0.39,4.74
s9,0.77,2.47
s10,0.58,8.2
s11,0.38,5.64
s12,0.6,3.01
s13,0.84,2.83
s14,0.44,4.36
s15,0.92,8.97
s16,0.49,7.9
s17,0.41,1.52
s18,0.57,4.98
s19,0.58,8.65
s20,0.85,8.86
s21,0.42,6.22
s22,0.59,4.16
s23,0.15,2.81
s24,0.23,6.37
s25,0.52,2.55
s26,0.84,4.24
s27,0.98,3.11
s28,0.77,3.61
s29,0.89,8.83
s30,0.71,5.17
s31,0.1,1.68
s32,0.3,4.63
s33,0.9,3.62
s34,0.41,1.91
s35,0.25,3.89
s36,0.67,2.69
s37,0.32,1.57
s38,0.99,5.93
s39,0.48,3.24
s40,0.53,2.81
s41,0.1,4.32
s42,0.21,6.62
s43,0.65,8.67
s44,0.21,8.91
s45,0.75,8.06

name,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45
s11,0.11,-0.34,0.88,-0.53,-0.45,0.35,-0.12,-0.01,-1.24,0.51,0,-0.58,-1.29,-0.08,1.8,0.25,-0.12,-0.13,0.6,1.51,0.02,-0.31,0.65,-0.11,-0.43,-0.64,-1.52,-0.79,1.63,-0.16,1.11,0.08,-1.05,-0.11,0.23,-0.86,0.24,0.18,-0.24,-0.42,0.37,-0.17,0.82,-0.56,0.9
s12,-0.32,0.1,0.47,-2.25,-2.14,-0.62,-1.25,-0.36,-0.09,-0.1,-0.58,0,-0.04,-0.22,1.91,-0.54,0.28,-0.06,-0.11,1.46,-0.58,-0.01,0.09,-1.24,0.04,0.3,0.04,0.1,1.69,0.24,0.66,-0.49,0.18,0.21,-0.31,-0.02,0.4,1.14,-0.03,0.01,-0.66,-1.41,0.28,-2.3,0.76
s13,-0.67,-0.28,0.59,-3.75,-3.71,-1.07,-2.2,-0.86,0.03,-1.4,-1.29,-0.04,0,-0.61,0.49,-1.77,0.56,-0.58,-1.51,0.06,-1.42,-0.33,0.01,-2.16,0.09,0.0,0.04,-0.05,0.3,-0.3,0.85,-0.97,0.05,0.4,-0.63,0.02,0.66,0.47,-0.15,0.01,-1.1,-2.39,-1.11,-3.83,-0.47
s14,0.03,0.03,0.71,-1.02,-0.9,0.02,-0.43,-0.02,-0.62,0.54,-0.08,-0.22,-0.61,0,2.21,0.18,0.09,0.08,0.6,1.84,-0.04,-0.03,0.45,-0.42,-0.14,-0.05,-0.68,-0.25,2.01,0.22,0.91,-0.04,-0.34,0.07,0.09,-0.38,0.33,0.86,-0.04,-0.14,0.01,-0.52,0.91,-1.05,1.15
s15,2.97,1.13,5.45,0.13,-0.1,3.73,1.69,2.24,0.98,0.26,1.8,1.91,0.49,2.21,0,0.46,3.8,1.4,0.11,0.01,1.38,1.59,4.74,1.79,2.57,0.38,-0.35,0.8,0.0,0.8,5.98,2.69,0.11,3.6,3.4,1.57,4.44,-0.21,2.52,2.4,3.81,1.67,0.08,0.04,0.15
s16,0.68,-0.62,2.07,-0.25,-0.29,1.33,0.35,0.32,-1.52,0.03,0.25,-0.54,-1.77,0.18,0.46,0,0.51,-0.23,0.07,0.35,0.12,-0.37,1.73,0.4,-0.16,-1.28,-2.35,-1.2,0.37,-0.6,2.43,0.62,-1.75,0.48,0.96,-0.94,1.08,-0.99,0.05,-0.2,1.4,0.36,0.12,-0.28,0.04
s17,-0.26,0.77,-0.12,-1.45,-1.22,-0.81,-0.84,-0.06,0.34,1.14,-0.12,0.28,0.56,0.09,3.8,0.51,0,0.55,1.21,3.23,0.05,0.48,-0.34,-0.87,0.11,1.17,0.91,0.75,3.51,1.09,-0.05,-0.34,1.03,0.0,-0.38,0.3,-0.0,2.56,0.12,0.15,-0.87,-1.02,1.72,-1.48,2.22
s18,0.23,-0.05,1.29,-1.37,-1.32,0.3,-0.5,0.04,-0.5,0.03,-0.13,-0.06,-0.58,0.08,1.4,-0.23,0.55,0,0.04,1.09,-0.19,-0.02,0.91,-0.47,0.12,-0.2,-0.77,-0.27,1.23,0.03,1.55,0.09,-0.45,0.49,0.35,-0.23,0.85,0.4,0.16,0.09,0.31,-0.59,0.3,-1.41,0.55
s19,1.23,-0.38,2.93,-0.05,-0.16,2.0,0.73,0.74,-1.17,-0.0,0.6,-0.11,-1.51,0.6,0.11,0.07,1.21,0.04,0,0.06,0.39,-0.04,2.51,0.8,0.37,-1.15,-2.22,-0.96,0.06,-0.45,3.35,1.13,-1.61,1.15,1.57,-0.54,1.84,-1.12,0.54,0.29,2.08,0.75,0.0,-0.1,-0.1
s20,2.57,0.79,4.88,0.05,-0.16,3.32,1.45,1.9,0.51,0.18,1.51,1.46,0.06,1.84,0.01,0.35,3.23,1.09,0.06,0,1.14,1.22,4.23,1.54,2.08,0.05,-0.75,0.42,-0.0,0.52,5.38,2.33,-0.26,3.06,2.98,1.11,3.86,-0.41,2.08,1.94,3.4,1.43,0.04,-0.03,0.08
s21,0.23,-0.44,1.19,-0.54,-0.49,0.57,-0.05,0.04,-1.31,0.32,0.02,-0.58,-1.42,-0.04,1.38,0.12,0.05,-0.19,0.39,1.14,0,-0.35,0.92,-0.03,-0.37,-0.83,-1.74,-0.91,1.23,-0.3,1.45,0.19,-1.25,0.04,0.4,-0.88,0.46,-0.17,-0.18,-0.38,0.61,-0.08,0.56,-0.56,0.61
s22,0.02,0.02,0.98,-1.76,-1.69,-0.07,-0.82,-0.12,-0.3,-0.04,-0.31,-0.01,-0.33,-0.03,1.59,-0.37,0.48,-0.02,-0.04,1.22,-0.35,0,0.59,-0.8,0.11,0.02,-0.41,-0.1,1.4,0.12,1.22,-0.14,-0.17,0.4,0.09,-0.12,0.7,0.71,0.1,0.08,-0.08,-0.93,0.27,-1.8,0.62
s23,0.21,0.86,0.01,0.36,0.63,-0.04,0.33,0.46,-0.21,2.32,0.65,0.09,0.01,0.45,4.74,1.73,-0.34,0.91,2.51,4.23,0.92,0.59,0,0.28,-0.1,0.99,0.25,0.5,4.45,1.32,0.06,0.27,0.61,-0.23,0.11,-0.06,-0.21,2.62,0.14,0.0,-0.08,0.23,2.93,0.37,3.15
s24,-0.18,-0.84,0.4,-0.05,0.05,0.23,0.0,-0.26,-2.11,0.64,-0.11,-1.24,-2.16,-0.42,1.79,0.4,-0.87,-0.47,0.8,1.54,-0.03,-0.8,0.28,0,-1.11,-1.3,-2.45,-1.49,1.62,-0.58,0.61,-0.12,-1.84,-0.8,-0.05,-1.62,-0.43,-0.33,-0.78,-1.07,0.27,-0.01,0.97,-0.05,0.88
s25,-0.33,0.29,0.22,-1.93,-1.77,-0.7,-1.1,-0.28,-0.02,0.34,-0.43,0.04,0.09,-0.14,2.57,-0.16,0.11,0.12,0.37,2.08,-0.37,0.11,-0.1,-1.11,0,0.54,0.26,0.27,2.32,0.5,0.37,-0.46,0.41,0.07,-0.36,0.02,0.2,1.59,-0.03,0.0,-0.74,-1.26,0.8,-1.97,1.27
s26,0.07,-0.04,1.58,-2.86,-2.88,-0.05,-1.35,-0.22,0.12,-1.03,-0.64,0.3,-0.0,-0.05,0.38,-1.28,1.17,-0.2,-1.15,0.05,-0.83,0.02,0.99,-1.3,0.54,0,-0.16,0.04,0.23,-0.12,1.89,-0.21,-0.04,1.0,0.21,0.26,1.39,0.25,0.36,0.44,-0.06,-1.5,-0.84,-2.94,-0.34
s27,-0.66,-0.42,0.95,-4.37,-4.39,-1.03,-2.5,-0.96,0.13,-2.04,-1.52,0.04,0.04,-0.68,-0.35,-2.35,0.91,-0.77,-2.22,-0.75,-1.74,-0.41,0.25,-2.45,0.26,-0.16,0,-0.1,-0.51,-0.56,1.26,-1.03,-0.04,0.68,-0.57,0.13,1.02,0.03,-0.07,0.13,-1.06,-2.7,-1.83,-4.47,-1.14
s28,-0.23,-0.09,1.03,-2.9,-2.87,-0.45,-1.53,-0.43,-0.0,-0.87,-0.79,0.1,-0.05,-0.25,0.8,-1.2,0.75,-0.27,-0.96,0.42,-0.91,-0.1,0.5,-1.49,0.27,0.04,-0.1,0,0.63,-0.09,1.29,-0.48,0.0,0.61,-0.15,0.09,0.92,0.51,0.11,0.19,-0.48,-1.69,-0.61,-2.97,-0.09
s29,2.74,0.96,5.14,0.03,-0.19,3.48,1.52,2.04,0.76,0.2,1.63,1.69,0.3,2.01,0.0,0.37,3.51,1.23,0.06,-0.0,1.23,1.4,4.45,1.62,2.32,0.23,-0.51,0.63,0,0.66,5.65,2.48,-0.05,3.32,3.16,1.35,4.14,-0.29,2.29,2.17,3.56,1.5,0.04,-0.05,0.11
s30,0.43,0.03,1.82,-1.8,-1.82,0.51,-0.62,0.14,-0.16,-0.39,-0.16,0.24,-0.3,0.22,0.8,-0.6,1.09,0.03,-0.45,0.52,-0.3,0.12,1.32,-0.58,0.5,-0.12,-0.56,-0.09,0.66,0,2.13,0.22,-0.29,0.98,0.59,0.1,1.4,0.21,0.44,0.42,0.52,-0.73,-0.21,-1.87,0.12
s31,0.51,1.59,0.01,0.78,1.12,0.05,0.67,0.89,0.53,3.13,1.11,0.66,0.85,0.91,5.98,2.43,-0.05,1.55,3.35,5.38,1.45,1.22,0.06,0.61,0.37,1.89,1.26,1.29,5.65,2.13,0,0.59,1.55,0.07,0.33,0.58,-0.02,3.78,0.59,0.49,0.0,0.54,3.84,0.8,4.15
s32,-0.01,-0.06,0.42,-0.37,-0.22,0.06,-0.11,0.01,-1.02,1.0,0.08,-0.49,-0.97,-0.04,2.69,0.62,-0.34,0.09,1.13,2.33,0.19,-0.14,0.27,-0.12,-0.46,-0.21,-1.03,-0.48,2.48,0.22,0.59,0,-0.61,-0.3,0.04,-0.72,-0.06,0.9,-0.25,-0.42,0.06,-0.18,1.41,-0.39,1.54
s33,-0.28,-0.2,1.25,-3.56,-3.57,-0.54,-1.89,-0.57,0.15,-1.47,-1.05,0.18,0.05,-0.34,0.11,-1.75,1.03,-0.45,-1.61,-0.26,-1.25,-0.17,0.61,-1.84,0.41,-0.04,-0.04,0.0,-0.05,-0.29,1.55,-0.61,0,0.84,-0.18,0.21,1.19,0.21,0.16,0.3,-0.56,-2.07,-1.26,-3.65,-0.67
s34,-0.22,0.67,-0.02,-1.37,-1.15,-0.7,-0.78,-0.06,0.2,1.07,-0.11,0.21,0.4,0.07,3.6,0.48,-0.0,0.49,1.15,3.06,0.04,0.4,-0.23,-0.8,0.07,1.0,0.68,0.61,3.32,0.98,0.07,-0.3,0.84,0,-0.32,0.2,0.03,2.33,0.09,0.11,-0.75,-0.94,1.62,-1.4,2.09
s35,0.01,0.24,0.21,-0.2,0.0,-0.05,-0.03,0.12,-0.74,1.42,0.23,-0.31,-0.63,0.09,3.4,0.96,-0.38,0.35,1.57,2.98,0.4,0.09,0.11,-0.05,-0.36,0.21,-0.57,-0.15,3.16,0.59,0.33,0.04,-0.18,-0.32,0,-0.5,-0.16,1.51,-0.15,-0.3,-0.06,-0.11,1.91,-0.2,2.08
s36,-0.51,0.0,0.38,-2.8,-2.7,-0.89,-1.63,-0.57,-0.02,-0.5,-0.86,-0.02,0.02,-0.38,1.57,-0.94,0.3,-0.23,-0.54,1.11,-0.88,-0.12,-0.06,-1.62,0.02,0.26,0.13,0.09,1.35,0.1,0.58,-0.72,0.21,0.2,-0.5,0,0.39,1.04,-0.1,-0.02,-0.93,-1.81,-0.12,-2.86,0.43
s37,-0.03,1.01,-0.07,-0.79,-0.53,-0.55,-0.39,0.22,0.41,1.72,0.24,0.4,0.66,0.33,4.44,1.08,-0.0,0.85,1.84,3.86,0.46,0.7,-0.21,-0.43,0.2,1.39,1.02,0.92,4.14,1.4,-0.02,-0.06,1.19,0.03,-0.16,0.39,0,2.92,0.27,0.26,-0.6,-0.56,2.34,-0.81,2.79
s38,1.24,0.47,3.36,-2.22,-2.36,1.41,-0.42,0.71,0.76,-0.93,0.18,1.14,0.47,0.86,-0.21,-0.99,2.56,0.4,-1.12,-0.41,-0.17,0.71,2.62,-0.33,1.59,0.25,0.03,0.51,-0.29,0.21,3.78,0.9,0.21,2.33,1.51,1.04,2.92,0,1.37,1.44,1.43,-0.54,-0.93,-2.32,-0.51
s39,-0.15,0.23,0.43,-1.5,-1.35,-0.39,-0.78,-0.13,-0.22,0.5,-0.24,-0.03,-0.15,-0.04,2.52,0.05,0.12,0.16,0.54,2.08,-0.18,0.1,0.14,-0.78,-0.03,0.36,-0.07,0.11,2.29,0.44,0.59,-0.25,0.16,0.09,-0.15,-0.1,0.27,1.37,0,-0.02,-0.41,-0.91,0.92,-1.53,1.3
s40,-0.28,0.23,0.32,-1.91,-1.77,-0.61,-1.07,-0.27,-0.08,0.27,-0.42,0.01,0.01,-0.14,2.4,-0.2,0.15,0.09,0.29,1.94,-0.38,0.08,-0.0,-1.07,0.0,0.44,0.13,0.19,2.17,0.42,0.49,-0.42,0.3,0.11,-0.3,-0.02,0.26,1.44,-0.02,0,-0.65,-1.22,0.7,-1.95,1.15
s41,-0.05,0.09,-0.09,0.49,0.72,-0.0,0.3,0.12,-1.24,1.86,0.37,-0.66,-1.1,0.01,3.81,1.4,-0.87,0.31,2.08,3.4,0.61,-0.08,-0.08,0.27,-0.74,-0.06,-1.06,-0.48,3.56,0.52,-0.0,0.06,-0.56,-0.75,-0.06,-0.93,-0.6,1.43,-0.41,-0.65,0,0.25,2.39,0.5,2.43
s42,-0.25,-0.99,0.32,0.0,0.1,0.21,-0.0,-0.34,-2.32,0.58,-0.17,-1.41,-2.39,-0.52,1.67,0.36,-1.02,-0.59,0.75,1.43,-0.08,-0.93,0.23,-0.01,-1.26,-1.5,-2.7,-1.69,1.5,-0.73,0.54,-0.18,-2.07,-0.94,-0.11,-1.81,-0.56,-0.54,-0.91,-1.22,0.25,0,0.9,0.0,0.78
s43,1.55,-0.08,3.41,-0.05,-0.18,2.31,0.89,1.02,-0.74,0.03,0.82,0.28,-1.11,0.91,0.08,0.12,1.72,0.3,0.0,0.04,0.56,0.27,2.93,0.97,0.8,-0.84,-1.83,-0.61,0.04,-0.21,3.84,1.41,-1.26,1.62,1.91,-0.12,2.34,-0.93,0.92,0.7,2.39,0.9,0,-0.11,-0.06
s44,-0.48,-2.04,0.49,-0.0,0.01,0.41,-0.07,-0.75,-3.61,-0.26,-0.56,-2.3,-3.83,-1.05,0.04,-0.28,-1.48,-1.41,-0.1,-0.03,-0.56,-1.8,0.37,-0.05,-1.97,-2.94,-4.47,-2.97,-0.05,-1.87,0.8,-0.39,-3.65,-1.4,-0.2,-2.86,-0.81,-2.32,-1.53,-1.95,0.5,-0.0,-0.11,0,-0.46
s45,1.74,0.29,3.71,-0.39,-0.53,2.36,0.8,1.2,-0.11,-0.02,0.9,0.76,-0.47,1.15,0.15,0.04,2.22,0.55,-0.1,0.08,0.61,0.62,3.15,0.88,1.27,-0.34,-1.14,-0.09,0.11,0.12,4.15,1.54,-0.67,2.09,2.08,0.43,2.79,-0.51,1.3,1.15,2.43,0.78,-0.06,-0.46,0
